id,name
data_ti_contrtype_1,Договір купівлі-продажу
data_ti_contrtype_2,Договір роздрібної купівлі-продажу
data_ti_contrtype_3,Договір найму-продажу
data_ti_contrtype_4,Договір поставки
data_ti_contrtype_5,Договір контрактації сільськогосподарської продукції
data_ti_contrtype_6,Договір постачання енергетичних та інших ресурсів через приєднану мережу
data_ti_contrtype_7,Договір міни
data_ti_contrtype_8,Договір дарування
data_ti_contrtype_9,Договір пожертви
data_ti_contrtype_10,Договір ренти
data_ti_contrtype_11,Договір довірчого утримання
data_ti_contrtype_12,Договір найму (оренди)
data_ti_contrtype_13,Договір прокату
data_ti_contrtype_14,Договір найму (оренди) земельної ділянки
data_ti_contrtype_15,Договір найму будівлі або іншої капітальної споруди
data_ti_contrtype_16,Договір найму (оренди) транспортного засобу
data_ti_contrtype_17,Договір лізінгу
data_ti_contrtype_18,Договір найму (оренди) житла
data_ti_contrtype_19,Договір позички
data_ti_contrtype_20,Договір підряду
data_ti_contrtype_21,Договір побутового підряду
data_ti_contrtype_22,Договір будівельного підряду
data_ti_contrtype_23,Договір підряду на проведення проектних та пошукових робіт 
data_ti_contrtype_24,Договір про надання послуг
data_ti_contrtype_25,Договір перевезення
data_ti_contrtype_26,Договір перевезення вантажу
data_ti_contrtype_27,Договір перевезення пасажирів і багажу
data_ti_contrtype_28,Договір чартеру (фрахтування)
data_ti_contrtype_29,Договір перевезення в прямому змішаному сполученні
data_ti_contrtype_30,Договір перевезення транспортом загального користування
data_ti_contrtype_31,Договір транспортного експедирування 
data_ti_contrtype_32,Договір зберігання
data_ti_contrtype_33,Договір складського зберігання
data_ti_contrtype_34,Договір зберігання речі в ломбарді
data_ti_contrtype_35,Договір зберігання цінностей у банку
data_ti_contrtype_36,Договір про надання індивідуального банківського сейфа
data_ti_contrtype_37,Договір зберігання автотранспортних засобів
data_ti_contrtype_38,Договір охорони
data_ti_contrtype_39,Договір страхування
data_ti_contrtype_40,Договір доручення
data_ti_contrtype_41,Договір комісії
data_ti_contrtype_42,Договір управління майном
data_ti_contrtype_43,Договір позики
data_ti_contrtype_44,Кредитний договір
data_ti_contrtype_45,Договір банківського вкладу
data_ti_contrtype_46,Договір банківського рахунку
data_ti_contrtype_47,Договір факторингу
data_ti_contrtype_48,Договори про розпорядження майновими правами інтелектуальної власності
data_ti_contrtype_49,Ліцензійний договір
data_ti_contrtype_50,Договір про створення  за замовленням і використання об’єкта права інтелектуальної власності
data_ti_contrtype_51,Договір про передання виключних майнових прав інтелектуальної власності
data_ti_contrtype_52,Договір комерційної концесії
data_ti_contrtype_53,Договір про спільну діяльність
data_ti_contrtype_54,Договір простого товариства
